year,quarter,Starting colonies,Maximum colonies,Lost colonies,Percent lost,Added colonies,Varroa mites,Other pests,Diseases,Pesticides,Other,Unknown,year_and_quarter,state_idx,region_idx,subregion_idx,State_Alabama,State_Arizona,State_Arkansas,State_California,State_Colorado,State_Connecticut,State_Florida,State_Georgia,State_Hawaii,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_North Dakota,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Vermont,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming,region_midwest,region_northeast,region_south,region_west,subregion_east north central,subregion_east south central,subregion_mid atlantic,subregion_mountain,subregion_new england,subregion_pacific,subregion_south atlantic,subregion_west north central,subregion_west south central
2017,Q2,13500.0,15000.0,1100.0,7.0,7000.0,0.7857142857142857,-0.053097345132743334,1.2941176470588236,1.139344262295082,2.084745762711864,0.0625,2017-04-01,30,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2018,Q2,60000.0,95000.0,4800.0,5.0,17000.0,0.9960317460317458,-0.26548672566371684,0.4117647058823529,2.3852459016393444,-0.05084745762711861,0.3374999999999999,2018-04-01,9,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2018,Q1,50000.0,52000.0,3600.0,7.0,4100.0,-0.6984126984126984,-0.0973451327433628,-0.47058823529411764,-0.4344262295081968,-0.5254237288135593,-0.3625,2018-01-01,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018,Q1,2900.0,2900.0,140.0,5.0,220.0,-0.5793650793650793,-0.5398230088495576,-0.41176470588235287,-0.4344262295081968,-0.5932203389830508,-0.5875,2018-01-01,5,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2018,Q3,16000.0,16000.0,1300.0,8.0,1300.0,0.1428571428571429,-0.10619469026548675,-0.49999999999999994,0.7622950819672131,-0.3220338983050847,1.7875,2018-07-01,30,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2021,Q2,14500.0,19500.0,410.0,2.0,1400.0,-0.5674603174603173,-0.15044247787610623,0.0,-0.13934426229508198,-0.44067796610169485,-0.3625,2021-04-01,25,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018,Q2,4800.0,6000.0,450.0,8.0,1400.0,0.38492063492063483,1.3097345132743365,-0.35294117647058826,-0.3852459016393443,-0.10169491525423723,0.8875,2018-04-01,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018,Q1,12000.0,14000.0,4000.0,29.0,300.0,0.5515873015873016,0.26548672566371684,1.3823529411764706,-0.04098360655737705,1.9491525423728813,2.2125,2018-01-01,30,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2017,Q1,7000.0,7500.0,1900.0,25.0,1700.0,-0.39285714285714274,0.08849557522123895,1.0,0.10655737704918025,1.033898305084746,1.0875,2017-01-01,11,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2017,Q2,84000.0,108000.0,5000.0,5.0,18000.0,0.2777777777777779,0.1769911504424779,2.470588235294117,0.024590163934426215,1.7796610169491525,1.7125,2017-04-01,32,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2020,Q1,7000.0,10500.0,1200.0,11.0,1500.0,-0.32936507936507936,-0.3893805309734514,0.058823529411764684,-0.516393442622951,0.559322033898305,0.9375,2020-01-01,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018,Q4,2200.0,57000.0,2500.0,4.0,60.0,-0.7142857142857142,-0.5929203539823009,0.0,0.0,0.0,0.0,2018-10-01,31,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2016,Q1,2200.0,3700.0,170.0,5.0,,-0.8888888888888887,-0.584070796460177,-0.4411764705882352,0.0,-0.5932203389830508,-0.3375,2016-01-01,16,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,Q1,44000.0,47000.0,2700.0,6.0,11000.0,0.003968253968254024,0.23008849557522124,-0.49999999999999994,-0.27049180327868855,0.0,-0.2375,2017-01-01,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2021,Q1,7000.0,7000.0,1400.0,20.0,2300.0,-0.5476190476190476,-0.5309734513274337,0.0,-0.25409836065573776,-0.06779661016949151,0.5375000000000001,2021-01-01,40,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2020,Q4,23000.0,25000.0,1900.0,8.0,580.0,0.09523809523809532,-0.27433628318584075,-0.14705882352941174,-0.25409836065573776,-0.423728813559322,-0.03749999999999998,2020-10-01,33,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2016,Q2,12500.0,13500.0,1300.0,10.0,2200.0,1.0158730158730156,2.619469026548673,-0.23529411764705882,5.30327868852459,1.694915254237288,-0.3625,2016-04-01,34,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2016,Q1,100000.0,100000.0,20000.0,20.0,28000.0,0.2579365079365081,0.06194690265486728,0.08823529411764706,2.926229508196722,-0.2033898305084745,0.2875,2016-01-01,7,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2015,Q1,305000.0,315000.0,42000.0,13.0,54000.0,-0.13492063492063486,0.5752212389380531,-0.2941176470588235,0.8934426229508198,0.13559322033898302,0.4125000000000001,2015-01-01,6,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2017,Q2,17000.0,17000.0,1900.0,11.0,5000.0,-0.04761904761904759,0.46017699115044247,0.17647058823529407,0.23770491803278693,-0.15254237288135591,0.08750000000000002,2017-04-01,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018,Q3,14000.0,14000.0,320.0,2.0,250.0,-0.4642857142857142,-0.336283185840708,-0.49999999999999994,0.0,0.18644067796610178,-0.6125,2018-07-01,25,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
