,State,year,quarter,Starting colonies,Maximum colonies,Lost colonies,Percent lost,Added colonies,Varroa mites,Other pests,Diseases,Pesticides,Other,Unknown
1,Alabama,2015,Q1,7000,7000,1800,26,2800,10.0,5.4,(Z),2.2,9.1,9.4
2,Alabama,2015,Q2,7500,7500,860,12,1900,16.7,42.5,(Z),2.3,3.2,4.1
3,Alabama,2015,Q3,8500,9000,1400,16,160,63.1,70.6,(Z),2.6,2.2,17.7
4,Alabama,2015,Q4,8000,8000,610,8,80,3.1,6.4,0.2,0.2,2.8,1.9
5,Alabama,2016,Q1,7500,7500,1700,23,1200,24.2,22.0,4.3,8.1,2.4,11.3
6,Arizona,2015,Q1,35000,35000,4600,13,3400,26.9,20.5,0.1,(Z),1.8,3.1
7,Arizona,2015,Q2,33000,33000,5500,17,19500,8.4,32.1,0.5,20.1,28.2,0.3
8,Arizona,2015,Q3,40000,40000,6000,15,4300,53.5,24.8,5.4,17.3,7.6,5.1
9,Arizona,2015,Q4,36000,39000,12000,31,3000,50.1,1.7,1.1,3.5,0.5,15.5
10,Arizona,2016,Q1,30000,30000,4700,16,2200,32.8,2.8,(Z),7.7,6.5,7.2
11,Arkansas,2015,Q1,13000,14000,1500,11,1200,17.6,11.4,1.5,3.4,1.0,1.0
12,Arkansas,2015,Q2,13500,13500,1900,14,11500,65.9,63.4,7.0,22.6,27.4,9.3
13,Arkansas,2015,Q3,23000,30000,9000,30,500,69.2,32.4,0.9,5.0,1.8,1.4
14,Arkansas,2015,Q4,23000,27000,2400,9,1900,38.1,9.7,0.1,8.2,8.5,0.6
15,Arkansas,2016,Q1,27000,27000,5000,19,4700,57.5,7.0,(Z),0.5,1.9,8.1
16,California,2015,Q1,1440000,1690000,255000,15,250000,24.7,7.2,3.0,7.5,6.5,2.8
17,California,2015,Q2,1040000,1050000,104000,10,170000,50.9,21.5,7.8,23.0,14.2,3.1
18,California,2015,Q3,730000,800000,76000,10,40000,39.9,20.4,12.5,19.6,15.0,4.7
19,California,2015,Q4,750000,1260000,149000,12,39000,37.3,12.7,6.2,11.7,10.5,7.3
20,California,2016,Q1,1140000,1410000,210000,15,175000,38.5,15.2,9.0,12.6,8.4,4.3
21,Colorado,2015,Q1,3500,12500,1500,12,200,14.6,0.9,1.8,0.6,2.6,5.9
22,Colorado,2015,Q2,12000,25000,1900,8,6000,38.6,1.8,4.6,2.8,3.4,6.6
23,Colorado,2015,Q3,29000,30000,4500,15,1400,50.5,1.5,2.7,16.5,3.7,2.7
24,Colorado,2015,Q4,24000,24000,2500,10,3400,47.6,24.4,21.2,19.7,8.4,1.8
25,Colorado,2016,Q1,6000,7000,570,8,-,3.5,4.7,0.6,0.3,3.0,0.2
26,Connecticut,2015,Q1,3900,3900,870,22,290,2.5,1.4,(Z),(Z),21.2,2.4
27,Connecticut,2015,Q2,3000,3000,80,3,1100,10.2,0.4,1.9,0.8,1.0,0.7
28,Connecticut,2015,Q3,3700,3700,50,1,190,39.3,1.2,0.4,1.5,7.8,(Z)
29,Connecticut,2015,Q4,3200,3200,210,7,40,10.5,1.7,0.5,1.1,3.4,2.0
30,Connecticut,2016,Q1,2700,2700,270,10,70,12.3,0.8,0.2,(Z),7.7,1.7
31,Florida,2015,Q1,305000,315000,42000,13,54000,22.3,13.5,0.8,8.9,5.1,4.4
32,Florida,2015,Q2,210000,215000,35000,16,44000,44.2,26.4,2.7,17.7,13.6,5.4
33,Florida,2015,Q3,164000,220000,36000,16,37000,39.5,21.7,6.7,22.9,21.9,3.4
34,Florida,2015,Q4,220000,260000,37000,14,30000,27.3,18.4,2.5,6.8,3.0,4.2
35,Florida,2016,Q1,245000,265000,45000,17,36000,21.7,6.3,0.5,5.4,1.9,1.5
36,Georgia,2015,Q1,104000,105000,14500,14,47000,6.2,4.9,3.3,2.6,4.8,10.5
37,Georgia,2015,Q2,114000,124000,23000,19,25000,52.8,17.5,2.9,28.7,11.5,4.1
38,Georgia,2015,Q3,108000,110000,13000,12,19500,47.6,16.2,3.6,21.2,8.9,3.6
39,Georgia,2015,Q4,110000,121000,18000,15,4400,43.5,13.9,5.3,4.5,3.7,1.3
40,Georgia,2016,Q1,100000,100000,20000,20,28000,32.2,7.7,2.1,21.3,3.1,3.9
41,Hawaii,2015,Q1,10500,10500,380,4,3400,38.8,37.7,1.6,(Z),2.0,(Z)
42,Hawaii,2015,Q2,13500,13500,120,1,1100,60.1,61.0,0.3,0.1,3.2,0.1
43,Hawaii,2015,Q3,14500,14500,2700,19,1200,78.1,80.5,0.1,0.1,2.5,(Z)
44,Hawaii,2015,Q4,13000,13000,690,5,2700,31.0,33.9,0.2,(Z),(Z),(Z)
45,Hawaii,2016,Q1,15000,15000,280,2,570,0.3,1.5,(Z),0.1,0.8,(Z)
46,Idaho,2015,Q1,81000,88000,3700,4,2600,39.8,6.7,12.5,4.8,8.9,4.9
47,Idaho,2015,Q2,62000,72000,6500,9,16500,25.5,6.7,6.5,6.0,13.7,0.3
48,Idaho,2015,Q3,80000,128000,14000,11,5500,46.8,5.2,1.7,10.0,2.2,6.4
49,Idaho,2015,Q4,121000,145000,22000,15,5500,38.9,0.6,4.3,4.0,2.8,4.5
50,Idaho,2016,Q1,90000,97000,6500,7,5500,31.7,2.3,2.1,5.9,5.5,0.3
51,Illinois,2015,Q1,6000,10500,4200,40,2300,12.3,6.9,0.7,0.4,12.6,11.6
52,Illinois,2015,Q2,9500,9500,1300,14,6000,10.3,3.7,0.2,2.5,2.3,2.4
53,Illinois,2015,Q3,14000,14000,1400,10,1300,7.7,3.0,0.6,0.4,3.4,1.0
54,Illinois,2015,Q4,14000,14000,690,5,-,9.4,2.5,0.3,0.9,1.0,3.1
55,Illinois,2016,Q1,7000,7500,1300,17,470,15.0,7.8,0.4,2.9,5.0,10.4
56,Indiana,2015,Q1,9000,9500,2100,22,490,20.7,0.3,0.2,0.3,22.3,11.7
57,Indiana,2015,Q2,8000,12500,1300,10,4900,15.4,1.8,7.0,0.5,4.4,2.0
58,Indiana,2015,Q3,15000,15000,1600,11,1400,13.7,10.3,4.8,8.2,1.0,6.2
59,Indiana,2015,Q4,11500,11500,1100,10,140,15.1,0.5,6.3,0.1,0.6,3.7
60,Indiana,2016,Q1,6500,6500,770,12,40,17.4,3.7,0.9,0.3,7.2,5.5
61,Iowa,2015,Q1,12500,17500,3100,18,1700,26.0,0.7,4.6,3.4,18.0,3.4
62,Iowa,2015,Q2,12500,24000,1400,6,6500,21.5,5.1,2.9,7.8,2.7,1.9
63,Iowa,2015,Q3,29000,37000,3000,8,640,17.4,5.8,0.1,4.7,5.6,3.4
64,Iowa,2015,Q4,35000,35000,4300,12,40,53.4,0.9,0.6,6.4,24.8,1.4
65,Iowa,2016,Q1,16500,16500,3200,19,90,41.6,0.5,(Z),2.1,34.4,12.2
67,Kansas,2015,Q1,4600,7000,1600,23,450,32.7,1.3,1.1,14.2,9.5,3.4
68,Kansas,2015,Q2,6000,7000,670,10,2800,14.4,2.4,0.9,0.1,3.5,4.9
69,Kansas,2015,Q3,9000,9500,1000,11,100,22.5,16.2,0.2,14.1,14.8,1.7
70,Kansas,2015,Q4,8500,8500,3400,40,50,44.5,24.8,0.2,25.1,33.9,19.0
71,Kansas,2016,Q1,4700,4700,980,21,-,32.2,10.6,0.1,1.2,2.6,5.8
72,Kentucky,2015,Q1,7500,10500,4100,39,250,10.8,10.7,2.5,2.5,22.7,12.9
73,Kentucky,2015,Q2,7500,8500,980,12,3600,21.7,18.2,5.3,1.8,9.5,2.9
74,Kentucky,2015,Q3,10000,10000,1300,13,170,40.4,11.3,1.2,6.5,9.0,2.0
75,Kentucky,2015,Q4,8500,8500,1100,13,20,22.2,14.8,0.4,9.8,7.2,1.7
76,Kentucky,2016,Q1,7000,7000,1300,19,110,20.9,8.0,0.6,5.6,11.1,7.5
77,Louisiana,2015,Q1,51000,51000,8000,16,3100,17.2,4.7,4.3,1.7,3.1,2.1
78,Louisiana,2015,Q2,44000,45000,1800,4,6500,36.4,3.7,0.2,1.1,5.0,0.5
79,Louisiana,2015,Q3,50000,55000,2000,4,2300,25.9,2.3,(Z),1.6,3.0,0.2
80,Louisiana,2015,Q4,55000,71000,4900,7,1100,10.9,1.0,(Z),0.6,2.4,0.2
81,Louisiana,2016,Q1,68000,69000,9500,14,7500,18.0,11.1,13.9,0.3,9.9,1.5
82,Maine,2015,Q1,3100,6500,380,6,20,4.4,0.1,(Z),(Z),7.5,1.9
83,Maine,2015,Q2,4600,30000,3200,11,3500,72.1,34.5,0.1,34.5,0.5,0.1
84,Maine,2015,Q3,6000,6000,450,8,410,9.9,3.4,13.2,(Z),2.6,7.8
85,Maine,2015,Q4,4700,4700,60,1,530,18.0,0.2,(Z),(Z),0.1,0.4
86,Maine,2016,Q1,2200,3700,170,5,-,3.3,0.4,0.3,(Z),0.8,1.4
87,Maryland,2015,Q1,7500,10000,4100,41,1600,10.1,1.8,0.4,(Z),24.2,12.4
88,Maryland,2015,Q2,8000,11000,370,3,2600,4.9,1.3,0.2,2.5,1.6,1.5
89,Maryland,2015,Q3,7000,7500,680,9,730,26.9,19.1,2.9,22.8,7.1,2.0
90,Maryland,2015,Q4,7500,9500,730,8,-,5.6,2.0,0.1,(Z),0.2,4.3
91,Maryland,2016,Q1,6500,6500,1400,22,40,30.2,0.1,(Z),11.0,7.8,0.8
92,Massachusetts,2015,Q1,2900,4600,1000,22,260,23.5,3.5,2.1,2.8,7.6,4.7
93,Massachusetts,2015,Q2,4100,14000,320,2,940,66.8,61.7,0.2,61.8,4.4,3.1
