year,quarter,Starting colonies,Maximum colonies,Lost colonies,Percent lost,Added colonies,Varroa mites,Other pests,Diseases,Pesticides,Other,Unknown,year_and_quarter,state_idx,region_idx,subregion_idx,State_Alabama,State_Arizona,State_Arkansas,State_California,State_Colorado,State_Connecticut,State_Florida,State_Georgia,State_Hawaii,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_North Dakota,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Vermont,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming,region_midwest,region_northeast,region_south,region_west,subregion_east north central,subregion_east south central,subregion_mid atlantic,subregion_mountain,subregion_new england,subregion_pacific,subregion_south atlantic,subregion_west north central,subregion_west south central,FinalColonyCount,LogFinalToStart
2015,Q1,7000.0,7000.0,1800.0,26.0,2800.0,10.0,5.4,,2.2,9.1,9.4,2015-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5180.0,-0.3011050927839216
2015,Q2,7500.0,7500.0,860.0,12.0,1900.0,16.7,42.5,,2.3,3.2,4.1,2015-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6600.0,-0.12783337150988489
2015,Q3,8500.0,9000.0,1400.0,16.0,160.0,63.1,70.6,,2.6,2.2,17.7,2015-07-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7140.0,-0.1743533871447778
2015,Q4,8000.0,8000.0,610.0,8.0,80.0,3.1,6.4,0.2,0.2,2.8,1.9,2015-10-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7360.0,-0.08338160893905101
2016,Q1,7500.0,7500.0,1700.0,23.0,1200.0,24.2,22.0,4.3,8.1,2.4,11.3,2016-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5775.0,-0.2613647641344075
2015,Q1,35000.0,35000.0,4600.0,13.0,3400.0,26.9,20.5,0.1,,1.8,3.1,2015-01-01,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30450.0,-0.13926206733350766
2015,Q2,33000.0,33000.0,5500.0,17.0,19500.0,8.4,32.1,0.5,20.1,28.2,0.3,2015-04-01,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27390.0,-0.18632957819149348
2015,Q3,40000.0,40000.0,6000.0,15.0,4300.0,53.5,24.8,5.4,17.3,7.6,5.1,2015-07-01,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34000.0,-0.16251892949777494
2015,Q4,36000.0,39000.0,12000.0,31.0,3000.0,50.1,1.7,1.1,3.5,0.5,15.5,2015-10-01,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24839.999999999996,-0.37106368139083207
2016,Q1,30000.0,30000.0,4700.0,16.0,2200.0,32.8,2.8,,7.7,6.5,7.2,2016-01-01,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25200.0,-0.1743533871447778
2015,Q1,13000.0,14000.0,1500.0,11.0,1200.0,17.6,11.4,1.5,3.4,1.0,1.0,2015-01-01,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11570.0,-0.11653381625595151
2015,Q2,13500.0,13500.0,1900.0,14.0,11500.0,65.9,63.4,7.0,22.6,27.4,9.3,2015-04-01,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11610.0,-0.15082288973458366
2015,Q3,23000.0,30000.0,9000.0,30.0,500.0,69.2,32.4,0.9,5.0,1.8,1.4,2015-07-01,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16099.999999999998,-0.35667494393873245
2015,Q4,23000.0,27000.0,2400.0,9.0,1900.0,38.1,9.7,0.1,8.2,8.5,0.6,2015-10-01,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20930.0,-0.09431067947124129
2016,Q1,27000.0,27000.0,5000.0,19.0,4700.0,57.5,7.0,,0.5,1.9,8.1,2016-01-01,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21870.0,-0.21072103131565253
2015,Q1,1440000.0,1690000.0,255000.0,15.0,250000.0,24.7,7.2,3.0,7.5,6.5,2.8,2015-01-01,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1224000.0,-0.16251892949777494
2015,Q2,1040000.0,1050000.0,104000.0,10.0,170000.0,50.9,21.5,7.8,23.0,14.2,3.1,2015-04-01,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,936000.0,-0.10536051565782628
2015,Q3,730000.0,800000.0,76000.0,10.0,40000.0,39.9,20.4,12.5,19.6,15.0,4.7,2015-07-01,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,657000.0,-0.10536051565782628
2015,Q4,750000.0,1260000.0,149000.0,12.0,39000.0,37.3,12.7,6.2,11.7,10.5,7.3,2015-10-01,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,660000.0,-0.12783337150988489
2016,Q1,1140000.0,1410000.0,210000.0,15.0,175000.0,38.5,15.2,9.0,12.6,8.4,4.3,2016-01-01,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,969000.0,-0.16251892949777494
2015,Q1,3500.0,12500.0,1500.0,12.0,200.0,14.6,0.9,1.8,0.6,2.6,5.9,2015-01-01,4,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3080.0,-0.12783337150988489
2015,Q2,12000.0,25000.0,1900.0,8.0,6000.0,38.6,1.8,4.6,2.8,3.4,6.6,2015-04-01,4,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11040.0,-0.08338160893905101
2015,Q3,29000.0,30000.0,4500.0,15.0,1400.0,50.5,1.5,2.7,16.5,3.7,2.7,2015-07-01,4,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,24650.0,-0.16251892949777494
2015,Q4,24000.0,24000.0,2500.0,10.0,3400.0,47.6,24.4,21.2,19.7,8.4,1.8,2015-10-01,4,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,21600.0,-0.10536051565782628
2016,Q1,6000.0,7000.0,570.0,8.0,,3.5,4.7,0.6,0.3,3.0,0.2,2016-01-01,4,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5520.0,-0.08338160893905101
2015,Q1,3900.0,3900.0,870.0,22.0,290.0,2.5,1.4,,,21.2,2.4,2015-01-01,5,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3042.0,-0.2484613592984996
2015,Q2,3000.0,3000.0,80.0,3.0,1100.0,10.2,0.4,1.9,0.8,1.0,0.7,2015-04-01,5,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2910.0,-0.030459207484708574
2015,Q3,3700.0,3700.0,50.0,1.0,190.0,39.3,1.2,0.4,1.5,7.8,,2015-07-01,5,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3663.0,-0.01005033585350145
