,State_left,year_left,quarter_left,January 1_left,Unnamed: 4_left,Unnamed: 5_left,Unnamed: 6_left,Unnamed: 7_left,Unnamed: 8_left,Unnamed: 9_left,State_right,year_right,quarter_right,January 1_right,Unnamed: 4_right,Unnamed: 5_right,Unnamed: 6_right,Unnamed: 7_right,Unnamed: 8_right,Unnamed: 9_right
4,Alabama,2020,Jan-Mar,5500,7000,410,6,1900,780,11,,,,,,,,,,
5,Arizona,2020,Jan-Mar,29000,31000,8500,27,3000,120,(Z),,,,,,,,,,
6,Arkansas,2020,Jan-Mar,16500,16500,1600,10,1800,30,(Z),,,,,,,,,,
7,California,2020,Jan-Mar,1350000,1710000,230000,13,240000,66000,4,,,,,,,,,,
8,Colorado,2020,Jan-Mar,4500,13000,670,5,4000,500,4,,,,,,,,,,
9,Connecticut,2020,Jan-Mar,3700,3800,330,9,360,-,-,,,,,,,,,,
10,Florida,2020,Jan-Mar,295000,305000,30000,10,41000,8000,3,,,,,,,,,,
11,Georgia,2020,Jan-Mar,115000,119000,14500,12,41000,22000,18,,,,,,,,,,
12,Hawaii,2020,Jan-Mar,16000,16000,1800,11,1300,2200,14,,,,,,,,,,
13,Idaho,2020,Jan-Mar,156000,168000,18500,11,4400,920,1,,,,,,,,,,
15,Illinois,2020,Jan-Mar,11500,11500,2400,21,2900,160,1,,,,,,,,,,
16,Indiana,2020,Jan-Mar,11000,11000,1600,15,1500,420,4,,,,,,,,,,
17,Iowa,2020,Jan-Mar,9000,17000,1600,9,6000,420,2,,,,,,,,,,
18,Kansas,2020,Jan-Mar,4500,6500,760,12,2000,130,2,,,,,,,,,,
19,Kentucky,2020,Jan-Mar,7000,11000,1200,11,1400,120,1,,,,,,,,,,
20,Louisiana,2020,Jan-Mar,44000,48000,4800,10,9000,20000,42,,,,,,,,,,
21,Maine,2020,Jan-Mar,1300,1300,160,12,460,-,-,,,,,,,,,,
22,Maryland,2020,Jan-Mar,7000,7000,1900,27,1900,30,(Z),,,,,,,,,,
23,Massachusetts,2020,Jan-Mar,3800,3800,470,12,1100,100,3,,,,,,,,,,
24,Michigan,2020,Jan-Mar,60000,60000,7000,12,10000,100,(Z),,,,,,,,,,
26,Minnesota,2020,Jan-Mar,21000,58000,920,2,1300,40,(Z),,,,,,,,,,
27,Mississippi,2020,Jan-Mar,26000,28000,5000,18,16000,660,2,,,,,,,,,,
28,Missouri,2020,Jan-Mar,8500,8500,5500,65,3400,-,-,,,,,,,,,,
29,Montana,2020,Jan-Mar,18000,47000,150,(Z),500,-,-,,,,,,,,,,
30,Nebraska,2020,Jan-Mar,9000,17000,670,4,70,-,-,,,,,,,,,,
31,New Jersey,2020,Jan-Mar,6500,6500,430,7,800,40,1,,,,,,,,,,
32,New Mexico,2020,Jan-Mar,6000,6000,40,1,120,-,-,,,,,,,,,,
33,New York,2020,Jan-Mar,29000,36000,2500,7,230,370,1,,,,,,,,,,
34,North Carolina,2020,Jan-Mar,15000,24000,2500,10,2600,490,2,,,,,,,,,,
35,North Dakota,2020,Jan-Mar,53000,82000,7500,9,-,-,-,,,,,,,,,,
37,Ohio,2020,Jan-Mar,15500,21000,6000,29,840,1100,5,,,,,,,,,,
38,Oklahoma,2020,Jan-Mar,19500,19500,700,4,5000,-,-,,,,,,,,,,
39,Oregon,2020,Jan-Mar,97000,108000,4800,4,9000,1700,2,,,,,,,,,,
40,Pennsylvania,2020,Jan-Mar,18500,26000,2100,8,370,320,1,,,,,,,,,,
41,South Carolina,2020,Jan-Mar,13000,17000,1400,8,2700,1100,6,,,,,,,,,,
42,South Dakota,2020,Jan-Mar,20000,20000,1200,6,20,-,-,,,,,,,,,,
43,Tennessee,2020,Jan-Mar,8000,14000,2700,19,2200,130,1,,,,,,,,,,
44,Texas,2020,Jan-Mar,235000,340000,35000,10,83000,24000,7,,,,,,,,,,
45,Utah,2020,Jan-Mar,12000,19000,1100,6,3000,-,-,,,,,,,,,,
46,Vermont,2020,Jan-Mar,6500,7000,520,7,500,70,1,,,,,,,,,,
48,Virginia,2020,Jan-Mar,6000,7000,1100,16,1600,60,1,,,,,,,,,,
49,Washington,2020,Jan-Mar,49000,74000,1500,2,580,150,(Z),,,,,,,,,,
50,West Virginia,2020,Jan-Mar,6000,8000,1100,14,600,680,9,,,,,,,,,,
51,Wisconsin,2020,Jan-Mar,16000,28000,1900,7,700,370,1,,,,,,,,,,
52,Wyoming,2020,Jan-Mar,4000,17000,140,1,450,60,(Z),,,,,,,,,,
54,Other States 5/,2020,Jan-Mar,7800,7800,440,6,560,20,(Z),,,,,,,,,,
56,United States,2020,Jan-Mar,2876100,(X),415110,14,511160,153390,5,,,,,,,,,,
70,State,2020,Apr-Jun,April 1,,,,,,,,,,,,,,,,
75,Alabama,2020,Apr-Jun,8500,8500,4100,48,4700,2600,31,,,,,,,,,,
76,Arizona,2020,Apr-Jun,26000,26000,1300,5,14500,4700,18,,,,,,,,,,
77,Arkansas,2020,Apr-Jun,17000,17000,1800,11,4900,800,5,,,,,,,,,,
78,California,2020,Apr-Jun,1200000,1200000,100000,8,175000,240000,20,,,,,,,,,,
79,Colorado,2020,Apr-Jun,16500,27000,2100,8,7000,2800,10,,,,,,,,,,
80,Connecticut,2020,Apr-Jun,3900,4300,30,1,1200,450,10,,,,,,,,,,
81,Florida,2020,Apr-Jun,310000,310000,40000,13,25000,18500,6,,,,,,,,,,
82,Georgia,2020,Apr-Jun,145000,147000,10000,7,18500,20000,14,,,,,,,,,,
83,Hawaii,2020,Apr-Jun,15500,15500,-,-,3000,2300,15,,,,,,,,,,
84,Idaho,2020,Apr-Jun,48000,81000,18000,22,22000,29000,36,,,,,,,,,,
86,Illinois,2020,Apr-Jun,12000,12000,1500,13,4200,1700,14,,,,,,,,,,
87,Indiana,2020,Apr-Jun,11000,12000,920,8,4500,1800,15,,,,,,,,,,
88,Iowa,2020,Apr-Jun,21000,29000,3600,12,17000,4700,16,,,,,,,,,,
89,Kansas,2020,Apr-Jun,7500,8000,680,9,1900,1800,23,,,,,,,,,,
90,Kentucky,2020,Apr-Jun,11000,11000,1200,11,4200,3500,32,,,,,,,,,,
